2023-11-21 13:34:36,955 | INFO | Number of results in first chunk: 1
2023-11-21 13:34:36,955 | INFO | making keys lower
2023-11-21 13:34:36,955 | INFO | copy data into table
2023-11-21 13:34:36,964 | INFO | query exicution start
2023-11-21 13:34:36,965 | INFO | query: [copy into MOCK_01.mock_01_schema.SALES_TSV from @MOCK_01.mock_01_schema.MOCK_01_...]
2023-11-21 13:34:39,897 | INFO | query execution done
2023-11-21 13:34:39,897 | INFO | Number of results in first chunk: 1
2023-11-21 13:34:39,897 | INFO | making keys lower
2023-11-21 13:34:39,962 | INFO | closed
2023-11-21 13:34:39,963 | INFO | No async queries seem to be running, deleting session
2023-11-21 13:36:27,479 | INFO | hellow world
2023-11-21 13:36:27,479 | INFO | Snowflake Connector for Python Version: 3.4.1, Python Version: 3.11.2, Platform: Windows-10-10.0.22621-SP0
2023-11-21 13:36:27,479 | INFO | This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
2023-11-21 13:36:28,975 | INFO | creating a stage in snowflake
2023-11-21 13:36:28,975 | INFO | query exicution start
2023-11-21 13:36:28,975 | INFO | query: [CREATE OR REPLACE STAGE MOCK_01.mock_01_schema.MOCK_01_STAGE FILE_FORMAT = (type...]
2023-11-21 13:36:29,181 | INFO | query execution done
2023-11-21 13:36:29,181 | INFO | Number of results in first chunk: 1
2023-11-21 13:36:29,181 | INFO | making keys lower
2023-11-21 13:36:29,181 | INFO | putting data into stage
2023-11-21 13:36:29,181 | INFO | query exicution start
2023-11-21 13:36:29,181 | INFO | query: [put file://../files/SalesData.tsv @MOCK_01.mock_01_schema.MOCK_01_STAGE]
2023-11-21 13:36:30,308 | INFO | query execution done
2023-11-21 13:36:31,336 | INFO | making keys lower
2023-11-21 13:36:31,342 | INFO | creating a table in snowflake
2023-11-21 13:36:31,342 | INFO | query exicution start
2023-11-21 13:36:31,342 | INFO | query: [CREATE OR REPLACE table MOCK_01.mock_01_schema.SALES_TSV(ORDER_NO NUMBER, order_...]
2023-11-21 13:36:31,635 | INFO | query execution done
2023-11-21 13:36:31,635 | INFO | Number of results in first chunk: 1
2023-11-21 13:36:31,650 | INFO | making keys lower
2023-11-21 13:36:31,651 | INFO | copy data into table
2023-11-21 13:36:31,651 | INFO | query exicution start
2023-11-21 13:36:31,651 | INFO | query: [copy into MOCK_01.mock_01_schema.SALES_TSV from @MOCK_01.mock_01_schema.MOCK_01_...]
2023-11-21 13:36:31,771 | INFO | query execution done
2023-11-21 13:36:31,850 | INFO | closed
2023-11-21 13:36:31,850 | INFO | No async queries seem to be running, deleting session
2023-11-21 13:37:22,881 | INFO | hellow world
2023-11-21 13:37:22,881 | INFO | Snowflake Connector for Python Version: 3.4.1, Python Version: 3.11.2, Platform: Windows-10-10.0.22621-SP0
2023-11-21 13:37:22,881 | INFO | This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
2023-11-21 13:37:23,863 | INFO | creating a stage in snowflake
2023-11-21 13:37:23,863 | INFO | query exicution start
2023-11-21 13:37:23,863 | INFO | query: [CREATE OR REPLACE STAGE MOCK_01.mock_01_schema.MOCK_01_STAGE FILE_FORMAT = (type...]
2023-11-21 13:37:24,064 | INFO | query execution done
2023-11-21 13:37:24,064 | INFO | Number of results in first chunk: 1
2023-11-21 13:37:24,064 | INFO | making keys lower
2023-11-21 13:37:24,079 | INFO | putting data into stage
2023-11-21 13:37:24,080 | INFO | query exicution start
2023-11-21 13:37:24,080 | INFO | query: [put file://../files/SalesData.tsv @MOCK_01.mock_01_schema.MOCK_01_STAGE]
2023-11-21 13:37:25,197 | INFO | query execution done
2023-11-21 13:37:26,372 | INFO | making keys lower
2023-11-21 13:37:26,372 | INFO | creating a table in snowflake
2023-11-21 13:37:26,372 | INFO | query exicution start
2023-11-21 13:37:26,372 | INFO | query: [CREATE OR REPLACE table MOCK_01.mock_01_schema.SALES_TSV(ORDER_NO NUMBER, order_...]
2023-11-21 13:37:26,731 | INFO | query execution done
2023-11-21 13:37:26,731 | INFO | Number of results in first chunk: 1
2023-11-21 13:37:26,731 | INFO | making keys lower
2023-11-21 13:37:26,731 | INFO | copy data into table
2023-11-21 13:37:26,731 | INFO | query exicution start
